# Gene Family	H2W_SMM_FULL_Parcubacteria7_0.51_39.8_Abundance-RPKs
UNMAPPED	4.0000000000
UniRef50_A0A1J4T4P1	2.7700831025
UniRef50_A0A1J4T4P1|unclassified	2.7700831025
UniRef50_A0A1G2CK26	2.2341892391
UniRef50_A0A1G2CK26|unclassified	2.2341892391
UniRef50_A0A1J4Y4P3	1.7271157168
UniRef50_A0A1J4Y4P3|unclassified	1.7271157168
UniRef50_A0A0G1QA88	1.6223286044
UniRef50_A0A0G1QA88|unclassified	1.6223286044
UniRef50_A0A0G1WJB2	1.5752084648
UniRef50_A0A0G1WJB2|unclassified	1.5752084648
UniRef50_A0A2M7X6E7	1.5600624025
UniRef50_A0A2M7X6E7|unclassified	1.5600624025
UniRef50_A0A0G0XQ98	1.4430014430
UniRef50_A0A0G0XQ98|unclassified	1.4430014430
UniRef50_A0A0G4ARA7	1.3850415512
UniRef50_A0A0G4ARA7|unclassified	1.3850415512
UniRef50_A0A1S0VNV0	1.3717421125
UniRef50_A0A1S0VNV0|unclassified	1.3717421125
UniRef50_A0A1F8E0I6	1.3679890561
UniRef50_A0A1F8E0I6|unclassified	1.3679890561
UniRef50_A0A0G1FSA7	1.3351134846
UniRef50_A0A0G1FSA7|unclassified	1.3351134846
UniRef50_A0A0G1JVK3	1.2903225806
UniRef50_A0A0G1JVK3|unclassified	1.2903225806
UniRef50_A0A2H0EDD8	1.2723954407
UniRef50_A0A2H0EDD8|unclassified	1.2723954407
UniRef50_A0A0G1C2L7	1.2690355330
UniRef50_A0A0G1C2L7|unclassified	1.2690355330
UniRef50_A0A0G0C9Q0	1.2674271229
UniRef50_A0A0G0C9Q0|unclassified	1.2674271229
UniRef50_A0A0G0GYX7	1.2626307917
UniRef50_A0A0G0GYX7|unclassified	1.2626307917
UniRef50_Q3A6R2	1.2500000000
UniRef50_Q3A6R2|unclassified	1.2500000000
UniRef50_A0A1F8DYK4	1.2254901961
UniRef50_A0A1F8DYK4|unclassified	1.2254901961
UniRef50_A0A0G0XMU8	1.1862396204
UniRef50_A0A0G0XMU8|unclassified	1.1862396204
UniRef50_A0A0G0FZD5	1.1834319527
UniRef50_A0A0G0FZD5|unclassified	1.1834319527
UniRef50_A0A1F6BL49	1.1806375443
UniRef50_A0A1F6BL49|unclassified	1.1806375443
UniRef50_A0A0G0FVP6	1.1627906977
UniRef50_A0A0G0FVP6|unclassified	1.1627906977
UniRef50_A0A0G0WXX3	1.1415525114
UniRef50_A0A0G0WXX3|unclassified	1.1415525114
UniRef50_A0A0G1CAT9	1.1148272018
UniRef50_A0A0G1CAT9|unclassified	1.1148272018
UniRef50_A0A0G1E5Q6	0.9689922481
UniRef50_A0A0G1E5Q6|unclassified	0.9689922481
UniRef50_A0A1G2R1F5	0.9569377990
UniRef50_A0A1G2R1F5|unclassified	0.9569377990
UniRef50_A0A0G1X428	0.9082652134
UniRef50_A0A0G1X428|unclassified	0.9082652134
UniRef50_A0A0G0G6F5	0.9041591320
UniRef50_A0A0G0G6F5|unclassified	0.9041591320
UniRef50_A0A0G1KWA0	0.8643042351
UniRef50_A0A0G1KWA0|unclassified	0.8643042351
UniRef50_A0A0G4AR35	0.8635578584
UniRef50_A0A0G4AR35|unclassified	0.8635578584
UniRef50_A0A0G0UJ89	0.8169934641
UniRef50_A0A0G0UJ89|unclassified	0.8169934641
UniRef50_A0A0G0UJ98	0.8097165992
UniRef50_A0A0G0UJ98|unclassified	0.8097165992
UniRef50_A0A2J0HNL1	0.8019246191
UniRef50_A0A2J0HNL1|unclassified	0.8019246191
UniRef50_A0A0G0Z886	0.7974481659
UniRef50_A0A0G0Z886|unclassified	0.7974481659
UniRef50_A0A2H0ECS1	0.7881524773
UniRef50_A0A2H0ECS1|unclassified	0.7881524773
UniRef50_A0A0G4ARY7	0.7843137255
UniRef50_A0A0G4ARY7|unclassified	0.7843137255
UniRef50_A0A0G0FX01	0.7282692873
UniRef50_A0A0G0FX01|unclassified	0.7282692873
UniRef50_A0A0G0FW40	0.7077140835
UniRef50_A0A0G0FW40|unclassified	0.7077140835
UniRef50_A0A0G0G6Q4	0.6447453256
UniRef50_A0A0G0G6Q4|unclassified	0.6447453256
UniRef50_A0A0G0NAP5	0.6253908693
UniRef50_A0A0G0NAP5|unclassified	0.6253908693
UniRef50_A0A0G0NIT3	0.6124021592
UniRef50_A0A0G0NIT3|unclassified	0.6124021592
UniRef50_A0A0G1QA14	0.6033868707
UniRef50_A0A0G1QA14|unclassified	0.6033868707
UniRef50_A0A2H0NB44	0.5675368899
